Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability
Duffy,3083,2,0,1,0,1,28,Duffy,10.4,"Woden Bus Station, ACT",12.35,"Canberra Hospital, ACT",0.55,0.012325656827765165,29,0,2.8,0.033169160355163804,21.25961559844731,96.06481219500112
Fisher,2894,0,0,0,0,0,27,Fisher,9.95,"Woden Bus Station, ACT",11.883333333333333,"Canberra Hospital, ACT",0.5,0.012785072563925363,16,0,2.8,0.027010083563045198,13.176459926603776,95.77658142975362
Holder,2545,2,0,1,1,0,30,Holder,9.233333333333333,"Woden Bus Station, ACT",11.183333333333335,"Canberra Hospital, ACT",0.55,0.015717092337917484,24,0,2.8,0.028907628895931643,21.127322967146874,96.02587786571925
Rivett,2893,0,1,1,1,0,49,Rivett,10.966666666666667,"Woden Bus Station, ACT",12.9,"Canberra Hospital, ACT",0.6,0.020394054614586935,19,3,2.8,0.030171795393367423,13.291743505308443,95.86844057815765
Stirling,1989,1,1,3,1,0,29,Stirling,8.416666666666666,"Woden Bus Station, ACT",10.366666666666667,"Canberra Hospital, ACT",0.6,0.0196078431372549,19,0,2.7,0.02531455280777535,17.018653868208453,96.09010235554811
Waramanga,2373,4,0,2,0,2,34,Waramanga,7.883333333333334,"Woden Bus Station, ACT",9.816666666666666,"Canberra Hospital, ACT",0.6,0.018541930046354824,19,0,2.8,0.024283021886270482,29.006370007841163,96.14161965367784
Weston,3354,3,1,1,1,1,101,Weston,7.533333333333332,"Woden Bus Station, ACT",8.683333333333334,"Canberra Hospital, ACT",0.65,0.03309481216457961,37,3,2.8,0.030326799057081643,24.950617961422925,95.86040112614023
Chifley,2732,1,0,1,1,1,55,Chifley,5.266666666666667,"Woden Bus Station, ACT",7.216666666666668,"Canberra Hospital, ACT",0.6,0.023792093704245974,14,6,4.1,0.017265107579113273,16.661463763697274,94.63611346310394
Curtin,5313,4,0,2,0,0,116,Curtin,6.8,"Woden Bus Station, ACT",5.883333333333334,"Canberra Hospital, ACT",0.5,0.023715415019762844,27,0,2.1,0.02325593177926676,28.883526850205044,95.968034538231
Farrer,3422,2,0,1,0,0,17,Farrer,7.7333333333333325,"Woden Bus Station, ACT",6.2,"Canberra Hospital, ACT",0.5,0.007890122735242549,14,0,2.4,0.019273283873863067,20.95723244118917,96.09471667645109
Garran,3417,5,0,1,0,0,99,Garran,6.816666666666666,"Woden Bus Station, ACT",3.533333333333333,"Canberra Hospital, ACT",0.5,0.03189932689493708,28,0,2.1,0.021858051329076346,32.90148100196602,96.18489501701116
Hughes,2968,3,0,1,0,0,39,Hughes,5.933333333333334,"Woden Bus Station, ACT",4.433333333333334,"Canberra Hospital, ACT",0.5,0.01650943396226415,15,0,2.1,0.016268047293475835,24.76918806706804,96.28460922725347
Isaacs,2331,0,0,0,1,0,23,Isaacs,7.6,"Woden Bus Station, ACT",6.066666666666666,"Canberra Hospital, ACT",0.55,0.014157014157014158,19,0,2.4,0.021051981097670567,12.90998476927004,96.14935057754339
Lyons,3186,3,0,1,0,1,125,Lyons,5.566666666666666,"Woden Bus Station, ACT",5.933333333333334,"Canberra Hospital, ACT",0.55,0.0423728813559322,16,0,4.1,0.017422843303646997,24.727610382945045,94.31596665520281
Mawson,3055,3,0,3,1,0,84,Mawson,5.216666666666667,"Woden Bus Station, ACT",5.583333333333332,"Canberra Hospital, ACT",0.55,0.03076923076923077,17,0,2.4,0.01716105731036698,24.687922593554912,95.89093581100248
O'Malley,975,1,1,1,1,0,13,O'Malley,5.566666666666666,"Woden Bus Station, ACT",3.783333333333333,"Canberra Hospital, ACT",0.6,0.02358974358974359,11,0,4.1,0.013721234769166871,16.695481868888816,94.8659220445905
Pearce,2468,5,0,1,0,0,19,Pearce,5.4833333333333325,"Woden Bus Station, ACT",7.316666666666666,"Canberra Hospital, ACT",0.5,0.011750405186385737,16,0,2.4,0.01840172621488423,32.750289423336945,96.3635473712328
Phillip,2444,1,1,4,1,1,300,Phillip,4.083333333333333,"Woden Bus Station, ACT",5.916666666666668,"Canberra Hospital, ACT",0.65,0.12684124386252046,43,9,4.1,0.026707977931068758,16.527281237663974,93.25906611618204
Torrens,2165,2,0,1,1,0,11,Torrens,7.033333333333332,"Woden Bus Station, ACT",8.666666666666666,"Canberra Hospital, ACT",0.55,0.009699769053117783,15,0,2.4,0.02080017206489605,20.87785686240891,96.37337366895292
Gungahlin,2867,2,2,1,2,1,293,Gungahlin,1.8166666666666669,Marketplace Gungahlin,15.866666666666667,"Calvary Hospital, ACT",0.75,0.10568538542029997,34,7,2.6,0.02819825640246009,20.286319811022672,94.97964382560492
Barton,2867,2,1,0,1,0,0,Barton,9.666666666666666,"City Bus Station, ACT",10.15,"Canberra Hospital, ACT",0.6,0.003487966515521451,13,0,4.1,0.024123838200015905,21.17646023020132,95.12506856332988
Kingston,2867,0,0,0,1,1,0,Kingston,11.366666666666667,"City Bus Station, ACT",12.466666666666667,"Canberra Hospital, ACT",0.6,0.003487966515521451,13,0,4.1,0.02784911508121578,13.337100978897162,95.05867783283036
